Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IMO,"Imperial Oil Limited Common Stock",$116.78,0.57,0.49%,56,473,957,258,"",,,"",""
EQX,"Equinox Gold Corp. Common Shares",$18.40,0.29,1.601%,14,504,387,310,"",,,"",""
CET,"Central Securities Corporation Common Stock",$52.65,0.14,0.267%,12,742,626,780,"",,,"",""
NGD,"New Gold Inc.",$13.14,0.95,7.793%,10,402,938,000,"",,,"",""
CANF,"Can-Fite Biopharma Ltd American Depositary Shares, each representing two (2) Ordinary Shares",$4.93,0.34,7.407%,9,852,295,874,"",,,"",""
BMNR,"BitMine Immersion Technologies, Inc. Common Stock",$20.44,-1.06,-4.93%,9,297,388,498,"",,,"",""
BTG,"B2Gold Corp Common shares (Canada)",$6.21,0.01,0.161%,8,325,261,726,"",,,"",""
UEC,"Uranium Energy Corp. Common Stock",$15.38,-0.25,-1.599%,7,434,344,443,"",,,"",""
ORLA,"Orla Mining Ltd. Common Shares",$20.72,0.78,3.912%,7,042,649,678,"",,,"",""
UUUU,"Energy Fuels Inc Ordinary Shares (Canada)",$22.84,0.24,1.062%,5,419,629,781,"",,,"",""
NG,"Novagold Resources Inc.",$12.67,0.82,6.92%,5,156,620,708,"",,,"",""
SEB,"Seaboard Corporation Common Stock",$4,986.46,-23.54,-0.47%,4,776,001,469,"",,,"",""
SIM,"Grupo Simec, S.A.B. de C.V. American Depositary Shares",$30.80,UNCH,--,4,732,983,332,"",,,"",""
DNN,"Denison Mines Corp Ordinary Shares (Canada)",$4.26,0.03,0.709%,3,822,457,705,"",,,"",""
PRK,"Park National Corporation Common Stock",$171.62,1.65,0.971%,3,100,554,367,"",,,"",""
TGB,"Taseko Mines, Ltd. Common Stock",$8.50,0.22,2.657%,3,098,735,775,"",,,"",""
SVM,"Silvercorp Metals Inc. Common Shares",$13.77,0.64,4.874%,3,033,210,283,"",,,"",""
IE,"Ivanhoe Electric Inc. Common Stock",$16.70,0.29,1.767%,2,613,711,138,"",,,"",""
USAS,"Americas Gold and Silver Corporation Common Shares, no par value",$9.46,0.54,6.054%,2,588,536,044,"",,,"",""
NHC,"National HealthCare Corporation Common Stock",$160.17,-0.16,-0.10%,2,485,078,073,"",,,"",""
CNL,"Collective Mining Ltd. Common Shares",$20.22,0.14,0.697%,1,865,593,225,"",,,"",""
SLSR,"Solaris Resources Inc. Common Shares",$10.42,0.17,1.659%,1,739,066,073,"",,,"",""
IAUX,"i-80 Gold Corp. Common Shares",$2.00,0.08,4.167%,1,680,204,560,"",,,"",""
ASM,"Avino Silver & Gold Mines Ltd. Common Shares (Canada)",$9.24,0.35,3.937%,1,449,279,429,"",,,"",""
VZLA,"Vizsla Silver Corp. Common Shares",$4.20,0.27,6.87%,1,445,195,611,"",,,"",""
UAMY,"United States Antimony Corporation Common Stock",$8.91,-0.24,-2.623%,1,247,717,232,"",,,"",""
NEWP,"New Pacific Metals Corp. Common Shares",$5.73,0.32,5.915%,1,213,539,779,"",,,"",""
TMP,"Tompkins Financial Corporation Common Stock",$80.39,-0.61,-0.753%,1,160,178,833,"",,,"",""
SCCD,"Sachem Capital Corp. 6.00% Notes due 2026",$24.4512,UNCH,--,1,157,575,752,"",,,"",""
SCCE,"Sachem Capital Corp. 6.00% Notes due 2027",$23.6153,-0.0747,-0.315%,1,118,002,334,"",,,"",""
SCCF,"Sachem Capital Corp. 7.125% Notes due 2027",$23.5668,0.0768,0.327%,1,115,706,233,"",,,"",""
SCCG,"Sachem Capital Corp. 8.00% Notes due 2027",$23.4601,-0.1743,-0.737%,1,110,654,811,"",,,"",""
SLI,"Standard Lithium Ltd. Common Shares",$4.60,-0.12,-2.542%,1,096,074,329,"",,,"",""
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",$8.73,-0.16,-1.80%,937,274,625,"",,,"",""
GAU,"Galiano Gold Inc.",$3.41,0.11,3.333%,885,885,390,"",,,"",""
NAK,"Northern Dynasty Minerals, Ltd. Common Stock",$1.50,0.02,1.351%,828,800,493,"",,,"",""
MTA,"Metalla Royalty & Streaming Ltd. Common Shares",$8.89,0.26,3.013%,822,870,722,"",,,"",""
GROY,"Gold Royalty Corp. Common Shares",$4.72,0.17,3.736%,820,953,041,"",,,"",""
THM,"International Tower Hill Mines, Ltd. Ordinary Shares (Canada)",$3.35,0.11,3.395%,794,504,335,"",,,"",""
DC,"Dakota Gold Corp. Common Stock",$6.87,0.11,1.627%,778,110,586,"",,,"",""
TMQ,"Trilogy Metals Inc. Common Stock",$4.47,0.10,2.288%,771,279,006,"",,,"",""
ITRG,"Integra Resources Corp. Common Shares",$4.34,0.28,6.897%,734,784,594,"",,,"",""
QNC,"Quantum eMotion Corp. Common Shares",$3.61,-0.12,-3.217%,733,258,399,"",,,"",""
NFGC,"New Found Gold Corp Common Shares",$2.98,0.10,3.472%,730,477,641,"",,,"",""
WRN,"Western Copper and Gold Corporation Common Stock",$3.36,0.07,2.128%,678,909,591,"",,,"",""
IDR,"Idaho Strategic Resources, Inc. Common Stock",$43.17,2.32,5.679%,673,122,786,"",,,"",""
URG,"Ur Energy Inc Common Shares (Canada)",$1.68,-0.03,-1.754%,632,038,892,"",,,"",""
CMCL,"Caledonia Mining Corporation Plc Common Shares",$32.59,1.30,4.155%,628,817,011,"",,,"",""
REPX,"Riley Exploration Permian, Inc. Common Stock",$28.41,0.73,2.637%,624,136,619,"",,,"",""
ISOU,"IsoEnergy Ltd. Common Shares",$11.38,-0.03,-0.263%,623,554,992,"",,,"",""
BHB,"Bar Harbor Bankshares, Inc. Common Stock",$33.88,0.20,0.594%,565,408,853,"",,,"",""
TRX,"TRX Gold Corporation Common Stock",$1.83,0.01,0.549%,527,648,618,"",,,"",""
OBE,"Obsidian Energy Ltd. Common Shares",$7.67,0.21,2.815%,516,244,314,"",,,"",""
UMAC,"Unusual Machines, Inc. Common Stock",$13.76,0.32,2.381%,507,407,554,"",,,"",""
LCTX,"Lineage Cell Therapeutics, Inc. Common Stock",$1.96,0.06,3.158%,451,441,973,"",,,"",""
CTGO,"Contango ORE, Inc. Common Stock",$28.91,0.86,3.066%,437,787,455,"",,,"",""
DVS,"Dolly Varden Silver Corporation Common Shares",$4.75,0.10,2.151%,436,367,205,"",,,"",""
VKI,"Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE)",$9.37,0.01,0.107%,416,084,407,"",,,"",""
ARMP,"Armata Pharmaceuticals, Inc. Common Stock",$10.83,0.20,1.881%,394,286,781,"",,,"",""
BRBS,"Blue Ridge Bankshares, Inc. Common Stock",$4.22,0.03,0.716%,386,082,149,"",,,"",""
HYLN,"Hyliion Holdings Corp. Class A Common Stock",$2.15,0.23,11.979%,378,344,590,"",,,"",""
CATX,"Perspective Therapeutics, Inc. Common Stock",$5.06,-0.49,-8.829%,376,150,229,"",,,"",""
VGZ,"Vista Gold Corp Common Stock",$2.90,0.07,2.473%,366,006,413,"",,,"",""
TII,"Titan Mining Corporation Common Shares",$3.98,0.36,9.945%,364,129,289,"",,,"",""
LXFR,"Luxfer Holdings PLC Ordinary Shares",$13.35,0.39,3.009%,355,649,794,"",,,"",""
GLDG,"GoldMining Inc. Common Shares",$1.76,0.08,4.762%,352,396,933,"",,,"",""
ELA,"Envela Corporation Common Stock",$13.45,0.38,2.907%,349,208,752,"",,,"",""
RLGT,"Radiant Logistics, Inc. Common Stock",$7.36,0.24,3.371%,344,643,364,"",,,"",""
