Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NVDA,"NVIDIA Corporation Common Stock",$192.85,3.03,1.596%,4,686,255,000,000,"",,,"",""
AAPL,"Apple Inc. Common Stock",$272.14,7.56,2.857%,3,995,325,439,600,"",,,"",""
GOOG,"Alphabet Inc. Class C Capital Stock",$310.92,-3.98,-1.264%,3,761,199,240,000,"",,,"",""
GOOGL,"Alphabet Inc. Class A Common Stock",$310.90,-4.08,-1.295%,3,760,957,300,000,"",,,"",""
MSFT,"Microsoft Corporation Common Stock",$389.00,-8.23,-2.072%,2,888,569,710,564,"",,,"",""
AMZN,"Amazon.com, Inc. Common Stock",$208.56,-1.55,-0.738%,2,238,875,096,647,"",,,"",""
META,"Meta Platforms, Inc. Class A Common Stock",$639.30,-16.36,-2.495%,1,617,144,808,135,"",,,"",""
AVGO,"Broadcom Inc. Common Stock",$325.49,-7.16,-2.152%,1,543,237,208,837,"",,,"",""
TSLA,"Tesla, Inc. Common Stock",$409.38,-2.44,-0.592%,1,536,170,605,610,"",,,"",""
WMT,"Walmart Inc. Common Stock",$126.75,3.76,3.057%,1,010,218,662,687,"",,,"",""
ASML,"ASML Holding N.V. New York Registry Shares",$1,497.80,28.21,1.92%,589,060,355,816,"",,,"",""
MU,"Micron Technology, Inc. Common Stock",$418.01,-10.16,-2.373%,470,474,126,191,"",,,"",""
COST,"Costco Wholesale Corporation Common Stock",$998.43,13.16,1.336%,443,172,536,025,"",,,"",""
AMD,"Advanced Micro Devices, Inc. Common Stock",$213.84,13.69,6.84%,348,140,402,914,"",,,"",""
NFLX,"Netflix, Inc. Common Stock",$78.04,-0.63,-0.801%,329,497,534,186,"",,,"",""
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$78.14,-1.06,-1.338%,308,644,642,302,"",,,"",""
PLTR,"Palantir Technologies Inc. Class A Common Stock",$128.84,-6.40,-4.732%,308,014,014,405,"",,,"",""
LRCX,"Lam Research Corporation Common Stock",$244.25,-0.67,-0.274%,305,012,316,750,"",,,"",""
AMAT,"Applied Materials, Inc. Common Stock",$377.93,2.55,0.679%,299,928,977,035,"",,,"",""
TMUS,"T-Mobile US, Inc. Common Stock",$221.98,6.52,3.026%,244,591,490,803,"",,,"",""
LIN,"Linde plc Ordinary Shares",$504.00,7.49,1.509%,235,342,260,720,"",,,"",""
PEP,"PepsiCo, Inc. Common Stock",$169.54,4.60,2.789%,231,701,680,446,"",,,"",""
INTC,"Intel Corporation Common Stock",$46.12,2.01,4.557%,230,369,400,000,"",,,"",""
AMGN,"Amgen Inc. Common Stock",$382.87,8.12,2.167%,206,392,840,727,"",,,"",""
KLAC,"KLA Corporation Common Stock",$1,506.65,10.65,0.712%,197,486,575,963,"",,,"",""
TXN,"Texas Instruments Incorporated Common Stock",$213.35,-6.38,-2.904%,193,625,957,633,"",,,"",""
GILD,"Gilead Sciences, Inc. Common Stock",$147.64,-3.76,-2.483%,183,173,939,540,"",,,"",""
ISRG,"Intuitive Surgical, Inc. Common Stock",$494.02,-10.03,-1.99%,175,441,439,683,"",,,"",""
ADI,"Analog Devices, Inc. Common Stock",$356.09,1.06,0.299%,173,844,618,266,"",,,"",""
HON,"Honeywell International Inc. Common Stock",$243.61,-0.36,-0.148%,154,856,957,521,"",,,"",""
QCOM,"QUALCOMM Incorporated Common Stock",$144.78,1.90,1.33%,154,480,260,000,"",,,"",""
SHOP,"Shopify Inc. Class A Subordinate Voting Shares",$116.93,-9.27,-7.345%,152,489,742,845,"",,,"",""
PDD,"PDD Holdings Inc. American Depositary Shares",$106.88,1.94,1.849%,151,731,813,859,"",,,"",""
ARM,"Arm Holdings plc American Depositary Shares",$128.14,2.56,2.039%,135,734,088,832,"",,,"",""
APP,"Applovin Corporation Class A Common Stock",$393.22,-25.46,-6.081%,132,624,455,160,"",,,"",""
BKNG,"Booking Holdings Inc. Common Stock",$4,068.56,-8.23,-0.202%,128,864,908,602,"",,,"",""
VRTX,"Vertex Pharmaceuticals Incorporated Common Stock",$487.43,10.53,2.208%,123,823,885,232,"",,,"",""
PANW,"Palo Alto Networks, Inc. Common Stock",$141.67,-7.03,-4.728%,115,602,720,000,"",,,"",""
SNY,"Sanofi ADS",$47.31,0.55,1.176%,115,382,191,824,"",,,"",""
CME,"CME Group Inc. Class A Common Stock",$319.03,10.94,3.551%,115,041,148,292,"",,,"",""
CMCSA,"Comcast Corporation Class A Common Stock",$31.61,0.27,0.862%,113,727,911,870,"",,,"",""
CEG,"Constellation Energy Corporation Common Stock ",$312.64,17.80,6.037%,113,286,816,017,"",,,"",""
SBUX,"Starbucks Corporation Common Stock",$96.51,-0.98,-1.005%,109,950,183,534,"",,,"",""
ADBE,"Adobe Inc. Common Stock",$255.17,-3.44,-1.33%,104,747,285,000,"",,,"",""
INTU,"Intuit Inc. Common Stock",$358.71,-21.84,-5.739%,99,864,864,000,"",,,"",""
MELI,"MercadoLibre, Inc. Common Stock",$1,922.56,-74.31,-3.721%,97,468,374,226,"",,,"",""
SNDK,"Sandisk Corporation Common Stock",$638.52,-11.45,-1.762%,94,246,172,641,"",,,"",""
EQIX,"Equinix, Inc. Common Stock REIT",$951.90,23.79,2.563%,93,528,865,963,"",,,"",""
WDC,"Western Digital Corporation Common Stock",$270.57,-14.95,-5.236%,91,733,490,556,"",,,"",""
MAR,"Marriott International Class A Common Stock",$343.15,-4.78,-1.374%,90,929,449,705,"",,,"",""
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$350.25,-38.35,-9.869%,88,297,478,610,"",,,"",""
STX,"Seagate Technology Holdings PLC Ordinary Shares (Ireland)",$396.02,-15.09,-3.671%,86,361,295,993,"",,,"",""
SNPS,"Synopsys, Inc. Common Stock",$440.72,0.78,0.177%,84,375,368,463,"",,,"",""
MNST,"Monster Beverage Corporation",$85.54,1.78,2.125%,83,574,394,817,"",,,"",""
ADP,"Automatic Data Processing, Inc. Common Stock",$205.68,-8.79,-4.098%,82,815,892,788,"",,,"",""
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",$772.19,-7.48,-0.959%,81,635,776,995,"",,,"",""
ORLY,"O'Reilly Automotive, Inc. Common Stock",$94.33,0.83,0.888%,79,624,338,998,"",,,"",""
CTAS,"Cintas Corporation Common Stock",$198.55,-1.47,-0.735%,79,398,089,213,"",,,"",""
CDNS,"Cadence Design Systems, Inc. Common Stock",$290.63,-5.65,-1.907%,79,240,560,130,"",,,"",""
CSX,"CSX Corporation Common Stock",$42.47,0.16,0.378%,78,975,377,254,"",,,"",""
MDLZ,"Mondelez International, Inc. Class A Common Stock",$61.13,2.33,3.963%,78,359,225,746,"",,,"",""
ABNB,"Airbnb, Inc. Class A Common Stock",$125.66,-2.23,-1.744%,76,490,995,962,"",,,"",""
NTES,"NetEase, Inc. American Depositary Shares",$117.18,-1.23,-1.039%,74,198,174,919,"",,,"",""
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock ",$29.15,0.40,1.391%,72,232,956,937,"",,,"",""
AEP,"American Electric Power Company, Inc. Common Stock",$132.39,3.02,2.334%,71,604,650,410,"",,,"",""
DASH,"DoorDash, Inc. Class A Common Stock",$164.38,-11.91,-6.756%,71,411,003,742,"",,,"",""
MRVL,"Marvell Technology, Inc. Common Stock",$78.39,-1.09,-1.371%,68,292,327,530,"",,,"",""
PCAR,"PACCAR Inc. Common Stock",$126.25,-2.21,-1.72%,66,394,173,429,"",,,"",""
MDLN,"Medline Inc. Class A Common Stock",$49.99,0.19,0.382%,66,253,526,494,"",,,"",""
HOOD,"Robinhood Markets, Inc. Class A Common Stock",$73.39,-2.72,-3.574%,66,073,632,742,"",,,"",""
ROST,"Ross Stores, Inc. Common Stock",$200.55,-0.90,-0.447%,64,866,880,310,"",,,"",""
ELVR,"Elevra Lithium Limited American Depository Shares",$55.99,4.61,8.972%,64,630,914,360,"",,,"",""
BKR,"Baker Hughes Company Class A Common Stock",$64.72,2.51,4.035%,63,958,666,927,"",,,"",""
NXPI,"NXP Semiconductors N.V. Common Stock",$234.63,2.36,1.016%,59,289,322,222,"",,,"",""
MPWR,"Monolithic Power Systems, Inc. Common Stock",$1,213.67,9.57,0.795%,58,143,288,690,"",,,"",""
FTNT,"Fortinet, Inc. Common Stock",$75.23,-4.77,-5.963%,55,944,646,713,"",,,"",""
FER,"Ferrovial SE Ordinary Shares",$72.98,0.22,0.302%,52,559,180,994,"",,,"",""
FAST,"Fastenal Company Common Stock",$45.46,-0.76,-1.644%,52,196,226,887,"",,,"",""
HBANL,"Huntington Bancshares Incorporated Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock",$25.58,-0.07,-0.273%,51,922,089,362,"",,,"",""
IDXX,"IDEXX Laboratories, Inc. Common Stock",$649.23,13.57,2.135%,51,694,311,594,"",,,"",""
TER,"Teradyne, Inc. Common Stock",$329.09,4.24,1.305%,51,520,997,586,"",,,"",""
ARGX,"argenx SE American Depositary Shares",$840.28,-4.13,-0.489%,51,249,397,320,"",,,"",""
EA,"Electronic Arts Inc. Common Stock",$201.00,0.60,0.299%,50,300,996,313,"",,,"",""
EXC,"Exelon Corporation Common Stock",$48.59,0.80,1.674%,49,702,350,705,"",,,"",""
XEL,"Xcel Energy Inc. Common Stock",$83.91,2.36,2.894%,49,636,102,352,"",,,"",""
CRWV,"CoreWeave, Inc. Class A Common Stock",$99.30,10.05,11.261%,49,482,928,942,"",,,"",""
FANG,"Diamondback Energy, Inc. Common Stock",$172.52,-3.49,-1.983%,49,431,398,927,"",,,"",""
LITE,"Lumentum Holdings Inc. Common Stock",$688.27,20.50,3.07%,49,142,478,000,"",,,"",""
CCEP,"Coca-Cola Europacific Partners plc Ordinary Shares",$107.75,2.05,1.939%,48,916,607,156,"",,,"",""
BRKRP,"Bruker Corporation 6.375% Mandatory Convertible Preferred Stock, Series A",$311.41,6.20,2.031%,47,315,991,653,"",,,"",""
ADSK,"Autodesk, Inc. Common Stock",$220.91,-6.07,-2.674%,46,832,920,000,"",,,"",""
HBANM,"Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock",$22.93,-0.32,-1.376%,46,543,139,526,"",,,"",""
NDAQ,"Nasdaq, Inc. Common Stock",$81.11,-0.76,-0.928%,46,106,481,160,"",,,"",""
BIDU,"Baidu, Inc. ADS",$133.63,-2.23,-1.641%,45,938,104,832,"",,,"",""
HBANZ,"Huntington Bancshares Incorporated Depositary Shares, Each Representing a 1/1000th Interest in a Share of 5.50% Series L Non-Cumulative Perpetual Preferred Stock",$22.04,0.13,0.593%,44,736,624,298,"",,,"",""
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",$332.85,-3.34,-0.993%,44,143,613,480,"",,,"",""
PYPL,"PayPal Holdings, Inc. Common Stock",$47.02,5.37,12.893%,43,289,646,765,"",,,"",""
COIN,"Coinbase Global, Inc. Class A Common Stock",$162.03,-9.32,-5.439%,42,788,099,633,"",,,"",""
KDP,"Keurig Dr Pepper Inc. Common Stock",$31.03,1.49,5.044%,42,156,834,369,"",,,"",""
MSTR,"Strategy Inc Common Stock Class A",$124.61,-6.44,-4.914%,41,588,924,944,"",,,"",""
ODFL,"Old Dominion Freight Line, Inc. Common Stock",$196.70,-4.69,-2.329%,41,129,662,951,"",,,"",""
MCHP,"Microchip Technology Incorporated Common Stock",$75.93,-1.80,-2.316%,41,088,415,326,"",,,"",""
ONC,"BeOne Medicines Ltd. American Depositary Shares",$369.00,6.86,1.894%,40,832,780,967,"",,,"",""
TRI,"Thomson Reuters Corporation Common Shares",$90.09,6.89,8.281%,40,075,859,654,"",,,"",""
JD,"JD.com, Inc. American Depositary Shares",$27.52,0.11,0.401%,39,994,663,897,"",,,"",""
GEHC,"GE HealthCare Technologies Inc. Common Stock ",$84.05,-0.18,-0.214%,38,305,767,916,"",,,"",""
EBAY,"eBay Inc. Common Stock",$85.30,-2.77,-3.145%,38,214,400,000,"",,,"",""
TTWO,"Take-Two Interactive Software, Inc. Common Stock",$204.19,4.47,2.238%,37,810,976,361,"",,,"",""
RKLB,"Rocket Lab Corporation Common Stock",$69.97,-0.89,-1.256%,37,374,918,620,"",,,"",""
VOD,"Vodafone Group Plc American Depositary Shares",$15.70,0.05,0.319%,37,301,643,157,"",,,"",""
ERIC,"Ericsson American Depositary Shares",$11.03,-0.30,-2.648%,36,931,216,637,"",,,"",""
KMB,"Kimberly-Clark Corporation Common Stock",$111.11,2.09,1.917%,36,879,894,642,"",,,"",""
DDOG,"Datadog, Inc. Class A Common Stock",$104.43,-11.23,-9.709%,36,819,520,139,"",,,"",""
UAL,"United Airlines Holdings, Inc. Common Stock",$112.59,-0.44,-0.389%,36,415,030,875,"",,,"",""
ROP,"Roper Technologies, Inc. Common Stock",$337.70,1.91,0.569%,36,349,160,111,"",,,"",""
MCHPP,"Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock",$66.94,-1.06,-1.559%,36,223,607,559,"",,,"",""
HBANP,"Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock",$17.76,-0.07,-0.393%,36,049,112,864,"",,,"",""
ACGL,"Arch Capital Group Ltd. Common Stock",$99.18,0.69,0.701%,35,965,240,531,"",,,"",""
TCOM,"Trip.com Group Limited American Depositary Shares",$53.77,-0.80,-1.466%,35,126,366,453,"",,,"",""
AXON,"Axon Enterprise, Inc. Common Stock",$442.51,8.60,1.982%,35,125,764,990,"",,,"",""
ESLT,"Elbit Systems Ltd. Ordinary Shares",$761.52,36.79,5.076%,35,068,771,227,"",,,"",""
HBAN,"Huntington Bancshares Incorporated Common Stock",$17.02,-0.99,-5.497%,34,547,066,495,"",,,"",""
RYAAY,"Ryanair Holdings plc American Depositary Shares",$65.58,1.11,1.722%,34,510,411,883,"",,,"",""
WDAY,"Workday, Inc. Class A Common Stock",$130.23,-7.58,-5.50%,34,250,490,000,"",,,"",""
INSM,"Insmed Incorporated Common Stock",$158.62,-6.29,-3.814%,34,190,841,744,"",,,"",""
CPRT,"Copart, Inc. (DE) Common Stock",$35.28,-1.20,-3.289%,34,151,663,892,"",,,"",""
SYM,"Symbotic Inc. Class A Common Stock",$56.30,2.505,4.657%,33,902,271,890,"",,,"",""
STRC,"Strategy Inc Variable Rate Series A Perpetual Stretch Preferred Stock",$99.91,0.09,0.09%,33,345,233,056,"",,,"",""
STRF,"Strategy Inc 10.00% Series A Perpetual Strife Preferred Stock",$99.84,-1.12,-1.109%,33,321,870,367,"",,,"",""
FITB,"Fifth Third Bancorp Common Stock",$50.20,-3.42,-6.378%,33,182,790,804,"",,,"",""
IBKR,"Interactive Brokers Group, Inc. Class A Common Stock",$71.92,-2.475,-3.327%,32,030,587,295,"",,,"",""
PAYX,"Paychex, Inc. Common Stock",$88.48,-2.76,-3.025%,31,761,439,976,"",,,"",""
FISV,"Fiserv, Inc. Common Stock",$59.13,-2.34,-3.807%,31,621,394,285,"",,,"",""
ASTS,"AST SpaceMobile, Inc. Class A Common Stock",$85.82,5.62,7.007%,31,497,598,901,"",,,"",""
FTAI,"FTAI Aviation Ltd. Common Stock",$303.93,14.19,4.897%,31,174,989,095,"",,,"",""
SATS,"EchoStar  Corporation Common Stock",$106.78,-3.58,-3.244%,30,739,432,916,"",,,"",""
ULTA,"Ulta Beauty, Inc. Common Stock",$686.44,3.55,0.52%,30,451,969,348,"",,,"",""
CHTR,"Charter Communications, Inc. Class A Common Stock New",$231.85,1.69,0.734%,29,359,524,868,"",,,"",""
KHC,"The Kraft Heinz Company Common Stock",$24.78,0.38,1.557%,29,333,194,930,"",,,"",""
CTSH,"Cognizant Technology Solutions Corporation Class A Common Stock",$61.06,-3.97,-6.105%,29,201,756,935,"",,,"",""
NTRA,"Natera, Inc. Common Stock",$209.53,-2.59,-1.221%,28,982,428,045,"",,,"",""
AGNCZ,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",$26.08,-0.02,-0.077%,28,916,739,074,"",,,"",""
BIIB,"Biogen Inc. Common Stock",$195.13,3.10,1.614%,28,636,991,569,"",,,"",""
TW,"Tradeweb Markets Inc. Class A Common Stock",$121.09,1.62,1.356%,28,534,603,363,"",,,"",""
AGNCN,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",$25.62,-0.10,-0.389%,28,406,704,565,"",,,"",""
AGNCO,"AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",$25.52,0.04,0.157%,28,295,827,498,"",,,"",""
DXCM,"DexCom, Inc. Common Stock",$73.09,0.01,0.014%,28,129,771,302,"",,,"",""
TSCO,"Tractor Supply Company Common Stock",$53.27,0.55,1.043%,28,038,733,005,"",,,"",""
WTW,"Willis Towers Watson Public Limited Company Ordinary Shares",$291.27,-10.54,-3.492%,27,888,698,509,"",,,"",""
STLD,"Steel Dynamics, Inc.",$190.87,-2.52,-1.303%,27,873,673,537,"",,,"",""
AGNCL,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",$25.11,-0.05,-0.199%,27,841,231,524,"",,,"",""
AGNCP,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",$25.08,-0.04,-0.159%,27,807,968,404,"",,,"",""
