Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TSM,"Taiwan Semiconductor Manufacturing Company Ltd.",$366.36,-1.74,-0.473%,1,900,143,229,961,"",,,"",""
BRK/A,"Berkshire Hathaway Inc.",$751,424.989999999991,1,884.99,0.251%,1,105,251,480,741,"",,,"",""
BRK/B,"Berkshire Hathaway Inc.",$497.55,-2.46,-0.492%,1,097,750,222,641,"",,,"",""
LLY,"Eli Lilly and Company Common Stock",$1,040.00,1.73,0.167%,983,199,107,280,"",,,"",""
JPM,"JP Morgan Chase & Co. Common Stock",$302.55,-0.09,-0.03%,823,620,457,352,"",,,"",""
AZN,"AstraZeneca PLC Ordinary Shares",$205.55,1.03,0.504%,637,503,404,746,"",,,"",""
XOM,"Exxon Mobil Corporation Common Stock",$148.45,-1.48,-0.987%,626,038,235,398,"",,,"",""
V,"Visa Inc.",$314.08,-10.10,-3.116%,601,780,202,828,"",,,"",""
JNJ,"Johnson & Johnson Common Stock",$243.45,-1.10,-0.45%,586,689,895,969,"",,,"",""
MA,"Mastercard Incorporated Common Stock",$518.36,-9.10,-1.725%,462,279,829,530,"",,,"",""
ORCL,"Oracle Corporation Common Stock",$160.14,3.66,2.339%,460,256,932,740,"",,,"",""
ABBV,"AbbVie Inc. Common Stock",$231.50,4.00,1.758%,409,149,542,308,"",,,"",""
HD,"Home Depot, Inc. (The) Common Stock",$391.05,0.83,0.213%,389,294,766,209,"",,,"",""
BAC,"Bank of America Corporation Common Stock",$52.55,0.03,0.057%,383,746,141,153,"",,,"",""
PG,"Procter & Gamble Company (The) Common Stock",$160.07,-1.14,-0.707%,372,002,789,648,"",,,"",""
CVX,"Chevron Corporation Common Stock",$183.74,1.34,0.735%,369,964,458,233,"",,,"",""
CAT,"Caterpillar, Inc. Common Stock",$774.20,15.91,2.098%,362,309,803,223,"",,,"",""
BABA,"Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share",$155.73,-3.00,-1.89%,359,624,090,929,"",,,"",""
KO,"Coca-Cola Company (The) Common Stock",$78.68,-0.32,-0.405%,338,450,583,925,"",,,"",""
GE,"GE Aerospace Common Stock",$315.41,2.52,0.805%,330,806,301,361,"",,,"",""
TM,"Toyota Motor Corporation Common Stock",$248.29,6.65,2.752%,323,991,877,259,"",,,"",""
NVS,"Novartis AG Common Stock",$163.10,1.92,1.191%,311,219,538,845,"",,,"",""
MRK,"Merck & Company, Inc. Common Stock (new)",$121.41,2.17,1.82%,301,342,356,096,"",,,"",""
HSBC,"HSBC Holdings, plc. Common Stock",$85.15,-1.64,-1.89%,292,494,334,816,"",,,"",""
PM,"Philip Morris International Inc Common Stock",$187.51,-1.44,-0.762%,291,892,987,858,"",,,"",""
WFC,"Wells Fargo & Company Common Stock",$86.98,0.69,0.80%,273,037,573,463,"",,,"",""
MS,"Morgan Stanley Common Stock",$171.15,3.09,1.839%,272,010,288,578,"",,,"",""
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$905.14,0.59,0.065%,271,477,292,447,"",,,"",""
RTX,"RTX Corporation Common Stock",$200.06,-1.08,-0.537%,268,538,072,461,"",,,"",""
UNH,"UnitedHealth Group Incorporated Common Stock (DE)",$293.19,8.82,3.102%,265,582,824,998,"",,,"",""
SAP,"SAP  SE ADS",$204.53,0.79,0.388%,251,265,970,571,"",,,"",""
IBM,"International Business Machines Corporation Common Stock",$262.38,2.86,1.102%,245,255,823,350,"",,,"",""
RY,"Royal Bank Of Canada Common Stock",$169.47,0.12,0.071%,237,293,925,437,"",,,"",""
CCZ,"Comcast Holdings ZONES",$64.38,UNCH,--,234,593,928,232,"",,,"",""
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$19.73,0.13,0.663%,234,149,936,452,"",,,"",""
MCD,"McDonald's Corporation Common Stock",$327.58,-4.50,-1.355%,233,287,521,973,"",,,"",""
AXP,"American Express Company Common Stock",$337.50,-5.38,-1.569%,231,732,226,688,"",,,"",""
SHEL,"Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ",$78.77,0.55,0.703%,228,883,266,964,"",,,"",""
NVO,"Novo Nordisk A/S Common Stock",$49.57,0.64,1.308%,221,330,050,000,"",,,"",""
GEV,"GE Vernova Inc. Common Stock",$802.13,-14.43,-1.767%,216,197,668,958,"",,,"",""
T,"AT&T Inc.",$28.69,-0.11,-0.382%,200,846,559,897,"",,,"",""
C,"Citigroup, Inc. Common Stock",$110.86,-0.29,-0.261%,198,358,046,387,"",,,"",""
ABT,"Abbott Laboratories Common Stock",$112.68,1.21,1.085%,195,936,090,988,"",,,"",""
NEE,"NextEra Energy, Inc. Common Stock",$93.80,1.87,2.034%,195,348,788,359,"",,,"",""
BA,"Boeing Company (The) Common Stock",$242.96,3.61,1.508%,190,807,930,444,"",,,"",""
